DRA,BioSample,Sample_ID
DRR302849,SAMD00326542,A0429
DRR302850,SAMD00326543,A0430
DRR302851,SAMD00326544,A0431
DRR302852,SAMD00326545,A0432
DRR302853,SAMD00326546,A0433
DRR302854,SAMD00326547,A0434
DRR302855,SAMD00326548,A0435
DRR302856,SAMD00326549,A0436
DRR302857,SAMD00326550,A0437
DRR302858,SAMD00326551,A0438
DRR302859,SAMD00326552,A0439
DRR302860,SAMD00326553,A0440
DRR302861,SAMD00326554,A0441
DRR302862,SAMD00326555,A0442
DRR302863,SAMD00326556,A0443
DRR302864,SAMD00326557,A0444
DRR302865,SAMD00326558,A0445
DRR302866,SAMD00326559,A0446
DRR302867,SAMD00326560,A0447
DRR302868,SAMD00326561,A0448
DRR302869,SAMD00326562,A0449
DRR302870,SAMD00326563,A0450
DRR302871,SAMD00326564,A0451
DRR302872,SAMD00326565,A0452
DRR302873,SAMD00326566,A0453
DRR302874,SAMD00326567,A0454
DRR302875,SAMD00326568,A0455
DRR302876,SAMD00326569,A0456
DRR302877,SAMD00326570,A0457
DRR302878,SAMD00326571,A0458
DRR302879,SAMD00326572,A0459
DRR302880,SAMD00326573,A0460
DRR302881,SAMD00326574,A0461
DRR302882,SAMD00326575,A0462
DRR302883,SAMD00326576,A0463
DRR302884,SAMD00326577,A0464
DRR302885,SAMD00326578,A0465
DRR302886,SAMD00326579,A0466
DRR302887,SAMD00326580,A0467
DRR302888,SAMD00326581,A0468
DRR302889,SAMD00326582,A0469
DRR302890,SAMD00326583,A0470
DRR302891,SAMD00326584,A0471
DRR302892,SAMD00326585,A0472
DRR302893,SAMD00326586,A0473
DRR302894,SAMD00326587,A0474
DRR302895,SAMD00326588,A0475
DRR302896,SAMD00326589,A0476
DRR302897,SAMD00326590,A0477
DRR302898,SAMD00326591,A0478
DRR302899,SAMD00326592,A0479
DRR302900,SAMD00326593,A0480
DRR302901,SAMD00326594,A0481
DRR302902,SAMD00326595,A0482
DRR302903,SAMD00326596,A0483
DRR302904,SAMD00326597,A0484
DRR302905,SAMD00326598,A0485
DRR302906,SAMD00326599,A0486
DRR302907,SAMD00326600,A0487
DRR302908,SAMD00326601,A0488
DRR302909,SAMD00326602,A0489
DRR302910,SAMD00326603,A0490
DRR302911,SAMD00326604,A0491
DRR302912,SAMD00326605,A0492
DRR302913,SAMD00326606,A0493
DRR302914,SAMD00326607,A0494
DRR302915,SAMD00326608,A0495
DRR302916,SAMD00326609,A0496
DRR302917,SAMD00326610,A0497
DRR302918,SAMD00326611,A0498
DRR302919,SAMD00326612,A0499
DRR302920,SAMD00326613,A0500
DRR302921,SAMD00326614,A0501
DRR302922,SAMD00326615,A0502
DRR302923,SAMD00326616,A0503
DRR302924,SAMD00326617,A0504
DRR302925,SAMD00326618,A0505
DRR302926,SAMD00326619,A0506
DRR302927,SAMD00326620,A0507
DRR302928,SAMD00326621,A0508
DRR302929,SAMD00326622,A0509
DRR302930,SAMD00326623,A0510
DRR302931,SAMD00326624,A0511
DRR302932,SAMD00326625,A0512
DRR302933,SAMD00326626,A0513
DRR302934,SAMD00326627,A0514
DRR302935,SAMD00326628,A0515
DRR302936,SAMD00326629,A0516
DRR302937,SAMD00326630,A0517
DRR302938,SAMD00326631,A0518
DRR302939,SAMD00326632,A0519
DRR302940,SAMD00326633,A0520
DRR302941,SAMD00326634,A0521
DRR302942,SAMD00326635,A0522
DRR302943,SAMD00326636,A0523
DRR302944,SAMD00326637,A0524
DRR302945,SAMD00326638,A0525
DRR302946,SAMD00326639,A0526
DRR302947,SAMD00326640,A0527
DRR302948,SAMD00326641,A0528
DRR302949,SAMD00326642,A0529
DRR302950,SAMD00326643,A0530
DRR302951,SAMD00326644,A0531
DRR302952,SAMD00326645,A0532
DRR302953,SAMD00326646,A0533
DRR302954,SAMD00326647,A0534
DRR302955,SAMD00326648,A0535
DRR302956,SAMD00326649,A0536
DRR302957,SAMD00326650,A0537
DRR302958,SAMD00326651,A0538
DRR302959,SAMD00326652,A0539
DRR302960,SAMD00326653,A0540
DRR302961,SAMD00326654,A0541
DRR302962,SAMD00326655,A0542
DRR302963,SAMD00326656,A0543
DRR302964,SAMD00326657,A0544
DRR302965,SAMD00326658,A0545
DRR302966,SAMD00326659,A0546
DRR302967,SAMD00326660,A0547
DRR302968,SAMD00326661,A0548
DRR302969,SAMD00326662,A0549
DRR302970,SAMD00326663,A0550
DRR302971,SAMD00326664,A0551
DRR302972,SAMD00326665,A0552
DRR302973,SAMD00326666,A0553
DRR302974,SAMD00326667,A0554
DRR302975,SAMD00326668,A0555
DRR302976,SAMD00326669,A0556
DRR302977,SAMD00326670,A0557
DRR302978,SAMD00326671,A0558
DRR302979,SAMD00326672,A0559
DRR302980,SAMD00326673,A0560
DRR302981,SAMD00326674,A0561
DRR302982,SAMD00326675,A0562
DRR302983,SAMD00326676,A0563
DRR302984,SAMD00326677,A0564
DRR302985,SAMD00326678,A0565
DRR302986,SAMD00326679,A0566
DRR302987,SAMD00326680,A0567
DRR302988,SAMD00326681,A0568
DRR302989,SAMD00326682,A0569
DRR302990,SAMD00326683,A0570
DRR302991,SAMD00326684,A0571
DRR302992,SAMD00326685,A0572
DRR302993,SAMD00326686,A0573
DRR302994,SAMD00326687,A0574
DRR302995,SAMD00326688,A0575
DRR302996,SAMD00326689,A0576
DRR299410,SAMD00327674,A0577
DRR299411,SAMD00327675,A0578
DRR299412,SAMD00327676,A0579
DRR299413,SAMD00327677,A0580
DRR299414,SAMD00327678,A0581
DRR299415,SAMD00327679,A0582
DRR299416,SAMD00327680,A0583
DRR299417,SAMD00327681,A0584
DRR299418,SAMD00327682,A0585
DRR299419,SAMD00327683,A0586
DRR299420,SAMD00327684,A0587
DRR299421,SAMD00327685,A0588
DRR299422,SAMD00327686,A0589
DRR299423,SAMD00327687,A0590
DRR299424,SAMD00327688,A0591
DRR299425,SAMD00327689,A0592
DRR299426,SAMD00327690,A0593
DRR299427,SAMD00327691,A0594
DRR299428,SAMD00327692,A0595
DRR299429,SAMD00327693,A0596
DRR299430,SAMD00327694,A0597
DRR299431,SAMD00327695,A0598
DRR299432,SAMD00327696,A0599
DRR299433,SAMD00327697,A0600
DRR299434,SAMD00327698,A0601
DRR299435,SAMD00327699,A0602
DRR299436,SAMD00327700,A0603
DRR299437,SAMD00327701,A0604
DRR299438,SAMD00327702,A0605
DRR299439,SAMD00327703,A0606
DRR299440,SAMD00327704,A0607
DRR299441,SAMD00327705,A0608
DRR299442,SAMD00327706,A0609
DRR299443,SAMD00327707,A0610
DRR299444,SAMD00327708,A0611
DRR299445,SAMD00327709,A0612
DRR299446,SAMD00327710,A0613
DRR299447,SAMD00327711,A0614
