Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0529,4468963,4468963,100.00%,4441915,100.00%,4369637,98.37%
A0530,4189910,4189910,100.00%,4162502,100.00%,4091336,98.29%
A0531,1344650,1344650,100.00%,1334928,100.00%,1300159,97.40%
A0532,4293294,4293294,100.00%,4268216,100.00%,4200232,98.41%
A0533,4498669,4498669,100.00%,4471873,100.00%,4397640,98.34%
A0534,4214157,4214157,100.00%,4188892,100.00%,4122284,98.41%
A0535,3965285,3965285,100.00%,3939551,100.00%,3869596,98.22%
A0536,4039144,4039144,100.00%,4013739,100.00%,3942214,98.22%
A0537,4867073,4867073,100.00%,4835868,100.00%,4751385,98.25%
A0538,4495212,4495212,100.00%,4464683,100.00%,4388731,98.30%
A0539,4639082,4639082,100.00%,4608936,100.00%,4529788,98.28%
A0540,4379991,4379991,100.00%,4352395,100.00%,4276917,98.27%
A0541,4586587,4586587,100.00%,4557344,100.00%,4476312,98.22%
A0542,4042234,4042234,100.00%,4016287,100.00%,3946567,98.26%
A0543,4156065,4156065,100.00%,4129552,100.00%,4054461,98.18%
A0544,4205953,4205953,100.00%,4178422,100.00%,4101814,98.17%
A0545,4939876,4939876,100.00%,4908869,100.00%,4828571,98.36%
A0546,4541321,4541321,100.00%,4510028,100.00%,4439009,98.43%
A0547,4349240,4349240,100.00%,4321941,100.00%,4247316,98.27%
A0548,4477000,4477000,100.00%,4448754,100.00%,4376317,98.37%
A0549,4781952,4781952,100.00%,4751039,100.00%,4669527,98.28%
A0550,4419674,4419674,100.00%,4391808,100.00%,4321290,98.39%
A0551,4458785,4458785,100.00%,4431705,100.00%,4360228,98.39%
A0552,4531773,4531773,100.00%,4504426,100.00%,4429416,98.33%
A0553,4909816,4909816,100.00%,4879918,100.00%,4799037,98.34%
A0554,4550744,4550744,100.00%,4522447,100.00%,4449976,98.40%
A0555,4446395,4446395,100.00%,4418186,100.00%,4343559,98.31%
A0556,4470524,4470524,100.00%,4443740,100.00%,4372004,98.39%
A0557,4870252,4870252,100.00%,4841263,100.00%,4758875,98.30%
A0558,4294314,4294314,100.00%,4265847,100.00%,4194466,98.33%
A0559,4426939,4426939,100.00%,4399531,100.00%,4324949,98.30%
A0560,4553301,4553301,100.00%,4525396,100.00%,4448631,98.30%
A0561,4621236,4621236,100.00%,4592809,100.00%,4513666,98.28%
A0562,4374777,4374777,100.00%,4347221,100.00%,4276080,98.36%
A0563,4143888,4143888,100.00%,4117109,100.00%,4044839,98.24%
A0564,4305346,4305346,100.00%,4278292,100.00%,4205614,98.30%
A0565,4490606,4490606,100.00%,4463916,100.00%,4383680,98.20%
A0566,4192450,4192450,100.00%,4166888,100.00%,4095805,98.29%
A0567,4300163,4300163,100.00%,4273582,100.00%,4200798,98.30%
A0568,4418373,4418373,100.00%,4390379,100.00%,4315363,98.29%
A0569,4981429,4981429,100.00%,4950251,100.00%,4869966,98.38%
A0570,4597809,4597809,100.00%,4569502,100.00%,4495925,98.39%
A0571,4517248,4517248,100.00%,4489212,100.00%,4414249,98.33%
A0572,4540878,4540878,100.00%,4513508,100.00%,4441774,98.41%
A0573,4746863,4746863,100.00%,4717547,100.00%,4638841,98.33%
A0574,4239944,4239944,100.00%,4213763,100.00%,4146202,98.40%
A0575,4535465,4535465,100.00%,4508557,100.00%,4435115,98.37%
A0576,4649658,4649658,100.00%,4620119,100.00%,4543451,98.34%
A0577,9087820,9087820,100.00%,9036708,100.00%,8905373,98.55%
A0578,10043843,10043843,100.00%,9984468,100.00%,9830059,98.45%
A0579,8281078,8281078,100.00%,8231296,100.00%,8094680,98.34%
A0580,9855606,9855606,100.00%,9796841,100.00%,9642504,98.42%
A0581,9407293,9407293,100.00%,9354644,100.00%,9207482,98.43%
A0582,9266219,9266219,100.00%,9214006,100.00%,9066148,98.40%
A0583,9899721,9899721,100.00%,9842220,100.00%,9682955,98.38%
A0584,9432781,9432781,100.00%,9379173,100.00%,9229721,98.41%
A0585,8407675,8407675,100.00%,8361374,100.00%,8241733,98.57%
A0586,8954410,8954410,100.00%,8906044,100.00%,8760989,98.37%
A0587,9145010,9145010,100.00%,9091511,100.00%,8951627,98.46%
A0588,10523341,10523341,100.00%,10464872,100.00%,10313889,98.56%
A0589,9941044,9941044,100.00%,9887290,100.00%,9740526,98.52%
A0590,8487668,8487668,100.00%,8440009,100.00%,8318785,98.56%
A0591,10393141,10393141,100.00%,10333309,100.00%,10181775,98.53%
A0592,9042374,9042374,100.00%,8993072,100.00%,8862750,98.55%
A0593,9550655,9550655,100.00%,9495278,100.00%,9357588,98.55%
A0594,9891547,9891547,100.00%,9833864,100.00%,9679724,98.43%
A0595,8949691,8949691,100.00%,8894070,100.00%,8752828,98.41%
A0596,10989867,10989867,100.00%,10929322,100.00%,10766364,98.51%
A0597,10436105,10436105,100.00%,10379345,100.00%,10220836,98.47%
A0598,9412322,9412322,100.00%,9356955,100.00%,9222880,98.57%
A0599,10717624,10717624,100.00%,10655344,100.00%,10491945,98.47%
A0600,10262185,10262185,100.00%,10204056,100.00%,10047088,98.46%
A0601,8822471,8822471,100.00%,8773255,100.00%,8643833,98.52%
A0602,9740883,9740883,100.00%,9683782,100.00%,9528270,98.39%
A0603,8937424,8937424,100.00%,8883888,100.00%,8740985,98.39%
A0604,10123941,10123941,100.00%,10063992,100.00%,9915634,98.53%
A0605,9348712,9348712,100.00%,9293442,100.00%,9146810,98.42%
A0606,9174941,9174941,100.00%,9124292,100.00%,8981943,98.44%
A0607,10094365,10094365,100.00%,10041116,100.00%,9885398,98.45%
A0608,9303609,9303609,100.00%,9252047,100.00%,9106364,98.43%
A0609,8766753,8766753,100.00%,8718924,100.00%,8588453,98.50%
A0610,9297519,9297519,100.00%,9245488,100.00%,9092522,98.35%
A0611,9218337,9218337,100.00%,9161180,100.00%,9018985,98.45%
A0612,10732140,10732140,100.00%,10668293,100.00%,10509325,98.51%
A0613,9561636,9561636,100.00%,9507006,100.00%,9360509,98.46%
A0614,9483592,9483592,100.00%,9430404,100.00%,9279842,98.40%
A0615,10285892,10285892,100.00%,10226073,100.00%,10068821,98.46%
A0616,9695711,9695711,100.00%,9638069,100.00%,9492905,98.49%
A0617,9334424,9334424,100.00%,9281601,100.00%,9152055,98.60%
A0618,9528385,9528385,100.00%,9472981,100.00%,9322628,98.41%
A0619,8939990,8939990,100.00%,8885681,100.00%,8753362,98.51%
A0620,10528424,10528424,100.00%,10464396,100.00%,10316393,98.59%
A0621,9298870,9298870,100.00%,9244584,100.00%,9109390,98.54%
A0622,9527777,9527777,100.00%,9469280,100.00%,9326907,98.50%
A0623,9537571,9537571,100.00%,9481258,100.00%,9327768,98.38%
A0624,8785440,8785440,100.00%,8736020,100.00%,8597551,98.41%
A0625,8871823,8871823,100.00%,8819905,100.00%,8698316,98.62%
A0626,9627589,9627589,100.00%,9570402,100.00%,9430116,98.53%
A0627,9927882,9927882,100.00%,9871004,100.00%,9730145,98.57%
A0628,9492900,9492900,100.00%,9439543,100.00%,9304125,98.57%
A0629,9270748,9270748,100.00%,9217390,100.00%,9074433,98.45%
A0630,9451326,9451326,100.00%,9395526,100.00%,9253640,98.49%
A0631,9121656,9121656,100.00%,9066916,100.00%,8928340,98.47%
A0632,8869766,8869766,100.00%,8819411,100.00%,8687912,98.51%
A0633,8655413,8655413,100.00%,8603716,100.00%,8470229,98.45%
A0634,8456100,8456100,100.00%,8405937,100.00%,8278249,98.48%
A0635,12240344,12240344,100.00%,12167109,100.00%,11977275,98.44%
A0636,11776967,11776967,100.00%,11705489,100.00%,11537874,98.57%
A0637,12055329,12055329,100.00%,11985322,100.00%,11801255,98.46%
A0638,11901951,11901951,100.00%,11832039,100.00%,11640550,98.38%
A0639,11510673,11510673,100.00%,11444037,100.00%,11266528,98.45%
A0640,11459361,11459361,100.00%,11395645,100.00%,11225600,98.51%
A0641,10163166,10163166,100.00%,10103442,100.00%,9941322,98.40%
A0642,10401390,10401390,100.00%,10339195,100.00%,10169082,98.35%
A0643,10689147,10689147,100.00%,10627457,100.00%,10470625,98.52%
A0644,10687086,10687086,100.00%,10629851,100.00%,10481494,98.60%
A0645,10954955,10954955,100.00%,10892339,100.00%,10737571,98.58%
A0646,10834560,10834560,100.00%,10776889,100.00%,10619444,98.54%
