file,num_seqs,sum_len
A0293_R1.fastq.gz,2669445,400416750
A0293_R2.fastq.gz,2669445,400416750
A0294_R1.fastq.gz,2635675,395351250
A0294_R2.fastq.gz,2635675,395351250
A0295_R1.fastq.gz,2408321,361248150
A0295_R2.fastq.gz,2408321,361248150
A0296_R1.fastq.gz,2602457,390368550
A0296_R2.fastq.gz,2602457,390368550
A0297_R1.fastq.gz,2821337,423200550
A0297_R2.fastq.gz,2821337,423200550
A0298_R1.fastq.gz,2666707,400006050
A0298_R2.fastq.gz,2666707,400006050
A0299_R1.fastq.gz,2500110,375016500
A0299_R2.fastq.gz,2500110,375016500
A0300_R1.fastq.gz,2509264,376389600
A0300_R2.fastq.gz,2509264,376389600
A0301_R1.fastq.gz,2682970,402445500
A0301_R2.fastq.gz,2682970,402445500
A0302_R1.fastq.gz,2532156,379823400
A0302_R2.fastq.gz,2532156,379823400
A0303_R1.fastq.gz,2409411,361411650
A0303_R2.fastq.gz,2409411,361411650
A0304_R1.fastq.gz,2578663,386799450
A0304_R2.fastq.gz,2578663,386799450
A0305_R1.fastq.gz,2770220,415533000
A0305_R2.fastq.gz,2770220,415533000
A0306_R1.fastq.gz,2479179,371876850
A0306_R2.fastq.gz,2479179,371876850
A0307_R1.fastq.gz,2516729,377509350
A0307_R2.fastq.gz,2516729,377509350
A0308_R1.fastq.gz,2557017,383552550
A0308_R2.fastq.gz,2557017,383552550
A0309_R1.fastq.gz,2717661,407649150
A0309_R2.fastq.gz,2717661,407649150
A0310_R1.fastq.gz,2566087,384913050
A0310_R2.fastq.gz,2566087,384913050
A0311_R1.fastq.gz,2472894,370934100
A0311_R2.fastq.gz,2472894,370934100
A0312_R1.fastq.gz,2600174,390026100
A0312_R2.fastq.gz,2600174,390026100
A0313_R1.fastq.gz,2906402,435960300
A0313_R2.fastq.gz,2906402,435960300
A0314_R1.fastq.gz,2776991,416548650
A0314_R2.fastq.gz,2776991,416548650
A0315_R1.fastq.gz,2662444,399366600
A0315_R2.fastq.gz,2662444,399366600
A0316_R1.fastq.gz,2663771,399565650
A0316_R2.fastq.gz,2663771,399565650
A0317_R1.fastq.gz,2812871,421930650
