ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0032	2019	144	Kuroshio	K2019	140.33	41.75	Mie	169	-25	12	-1
A0033	2019	144	Kuroshio	K2019	153.61	52.05	Mie	191	-47	11	-2
A0034	2019	144	Kuroshio	K2019	144.43	44.37	Mie	175	-31	11	-2
A0035	2019	144	Kuroshio	K2019	129.17	30.41	Mie	152	-8	12	-1
A0036	2019	144	Kuroshio	K2019	149.58	49.63	Mie	184	-40	11	-2
A0037	2019	144	Kuroshio	K2019	176.21	81.52	Mie	233	-89	10	-3
A0038	2019	144	Kuroshio	K2019	119.58	22.78	Mie	138	6	1	1
A0039	2019	144	Kuroshio	K2019	140.3	36.68	Mie	169	-25	12	-1
A0040	2019	144	Kuroshio	K2019	138.64	41.32	Mie	166	-22	12	-1
A0041	2019	144	Kuroshio	K2019	150.26	49.58	Mie	185	-41	11	-2
A0042	2019	142	Kuroshio	K2019	103.44	13.51	Mie	116	26	1	1
A0043	2019	142	Kuroshio	K2019	168.67	69.81	Mie	218	-76	10	-3
A0044	2019	142	Kuroshio	K2019	163.97	62.08	Mie	209	-67	10	-3
A0045	2019	148	Kuroshio	K2019	124	24.52	Mie	144	4	1	1
A0046	2019	148	Kuroshio	K2019	115.12	19.32	Mie	132	16	1	1
A0047	2019	148	Kuroshio	K2019	192.09	99.53	Mie	268	-120	9	-4
A0048	2019	156	Kuroshio	K2019	107.85	15.29	Mie	122	34	2	2
A0049	2019	156	Kuroshio	K2019	104.27	13.09	Mie	118	38	2	2
A0050	2019	156	Kuroshio	K2019	115.6	16.84	Mie	133	23	1	1
A0051	2019	156	Kuroshio	K2019	108.01	14.26	Mie	122	34	2	2
A0052	2019	156	Kuroshio	K2019	100.86	10.51	Mie	113	43	2	2
A0053	2019	156	Kuroshio	K2019	118.68	21.75	Mie	137	19	1	1
A0054	2019	156	Kuroshio	K2019	110.39	14.45	Mie	126	30	1	1
A0055	2019	156	Kuroshio	K2019	108.73	14.32	Mie	123	33	2	2
A0056	2019	156	Kuroshio	K2019	101.31	12.86	Mie	114	42	2	2
A0057	2019	156	Kuroshio	K2019	131.74	31.13	Mie	156	0	1	1
A0058	2019	156	Kuroshio	K2019	99.68	12.07	Mie	112	44	2	2
A0059	2019	156	Kuroshio	K2019	111.76	15.52	Mie	127	29	1	1
A0060	2019	156	Kuroshio	K2019	123.8	23.39	Mie	144	12	1	1
A0061	2019	156	Kuroshio	K2019	110.81	14.73	Mie	126	30	1	1
A0062	2019	132	Tsushima	T2019	66.61	3.61	Kumamoto	73	59	2	2
A0063	2019	132	Tsushima	T2019	64.63	3.21	Kumamoto	71	61	3	3
A0064	2019	132	Tsushima	T2019	66.09	3.2	Kumamoto	73	59	3	3
A0065	2019	132	Tsushima	T2019	64.96	3.46	Kumamoto	72	60	3	3
A0066	2019	132	Tsushima	T2019	60.27	2.63	Kumamoto	67	65	3	3
A0067	2019	132	Tsushima	T2019	64.17	3.21	Kumamoto	71	61	3	3
A0068	2019	132	Tsushima	T2019	70.39	4.28	Kumamoto	78	54	2	2
A0069	2019	132	Tsushima	T2019	55.2	2.23	Kumamoto	62	70	3	3
A0070	2019	132	Tsushima	T2019	59.53	2.38	Kumamoto	66	66	3	3
A0071	2019	132	Tsushima	T2019	61.33	2.53	Kumamoto	68	64	3	3
A0072	2019	132	Tsushima	T2019	61.86	2.75	Kumamoto	68	64	3	3
A0073	2019	132	Tsushima	T2019	62.88	3.14	Kumamoto	69	63	3	3
A0074	2019	133	Tsushima	T2019	96.54	9.78	Kumamoto	108	25	1	1
A0075	2019	133	Tsushima	T2019	95.62	11.29	Kumamoto	107	26	1	1
A0076	2019	133	Tsushima	T2019	75.48	4.21	Kumamoto	83	50	2	2
A0077	2019	133	Tsushima	T2019	94.13	10.53	Kumamoto	105	28	1	1
A0078	2019	133	Tsushima	T2019	91.13	9.05	Kumamoto	101	32	2	2
A0079	2019	133	Tsushima	T2019	101.95	13.31	Kumamoto	115	18	1	1
A0080	2019	133	Tsushima	T2019	92.91	10.11	Kumamoto	103	30	1	1
A0081	2019	133	Tsushima	T2019	98.02	13.66	Kumamoto	110	23	1	1
A0082	2019	133	Tsushima	T2019	97.07	12.81	Kumamoto	108	25	1	1
A0083	2019	133	Tsushima	T2019	93.53	10.58	Kumamoto	104	29	1	1
A0084	2019	138	Tsushima	T2019	71.93	4.34	Kumamoto	79	59	2	2
A0085	2019	138	Tsushima	T2019	73.48	4.56	Kumamoto	81	57	2	2
A0086	2019	138	Tsushima	T2019	76.27	4.42	Kumamoto	84	54	2	2
A0087	2019	138	Tsushima	T2019	70.49	4.04	Kumamoto	78	60	3	3
A0088	2019	138	Tsushima	T2019	74.33	5.2	Kumamoto	82	56	2	2
A0094	2019	132	Tsushima	T2019	163.46	68.03	Kumamoto	208	-76	10	-3
A0099	2019	148	Tsushima	T2019	86.48	7.35	Kumamoto	96	52	2	2
A0100	2019	148	Tsushima	T2019	82.08	6.55	Kumamoto	91	57	2	2
A0101	2019	148	Tsushima	T2019	85.32	7.27	Kumamoto	94	54	2	2
A0102	2019	148	Tsushima	T2019	98.27	10.92	Kumamoto	110	38	2	2
A0103	2019	148	Tsushima	T2019	91.82	7.9	Kumamoto	102	46	2	2
A0104	2019	148	Tsushima	T2019	92.76	8.95	Kumamoto	103	45	2	2
A0105	2019	147	Tsushima	T2019	99.77	13.03	Kumamoto	112	35	2	2
A0106	2019	147	Tsushima	T2019	88.35	8.35	Kumamoto	98	49	2	2
A0107	2019	147	Tsushima	T2019	89.5	7.93	Kumamoto	99	48	2	2
A0108	2019	147	Tsushima	T2019	92.15	9.3	Kumamoto	102	45	2	2
A0109	2019	147	Tsushima	T2019	97.2	10.93	Kumamoto	109	38	2	2
A0110	2019	161	Tsushima	T2019	101.15	11.2	Kumamoto	114	47	2	2
A0111	2019	161	Tsushima	T2019	108.56	14.06	Kumamoto	123	38	2	2
A0112	2019	161	Tsushima	T2019	97.66	10.21	Kumamoto	109	52	2	2
A0113	2019	161	Tsushima	T2019	98.05	10.97	Kumamoto	110	51	2	2
A0114	2019	161	Tsushima	T2019	88.53	7.54	Kumamoto	98	63	3	3
A0115	2019	161	Tsushima	T2019	94.91	9.49	Kumamoto	106	55	2	2
A0116	2019	161	Tsushima	T2019	94.92	8.56	Kumamoto	106	55	2	2
A0117	2019	161	Tsushima	T2019	102.1	11.71	Kumamoto	115	46	2	2
A0118	2019	161	Tsushima	T2019	110.11	16.67	Kumamoto	125	36	2	2
A0119	2019	161	Tsushima	T2019	96.17	9.26	Kumamoto	107	54	2	2
A0120	2019	150	Tsushima	T2019	200.92	115.15	Kumamoto	290	-140	8	-5
A0121	2019	150	Tsushima	T2019	198.17	113.49	Kumamoto	283	-133	8	-5
A0122	2019	150	Tsushima	T2019	223.68	180.37	Kumamoto	357	-207	6	-7
A0123	2019	150	Tsushima	T2019	202.02	129.14	Kumamoto	293	-143	8	-5
A0124	2019	150	Tsushima	T2019	194.16	110.58	Kumamoto	273	-123	8	-5
A0125	2019	150	Tsushima	T2019	194.41	110.74	Kumamoto	273	-123	8	-5
A0126	2019	150	Tsushima	T2019	189.85	104.59	Kumamoto	263	-113	9	-4
A0127	2019	150	Tsushima	T2019	209.25	152.43	Kumamoto	312	-162	7	-6
A0128	2019	150	Tsushima	T2019	187.38	103.44	Kumamoto	257	-107	9	-4
A0129	2019	150	Tsushima	T2019	182.07	89.06	Kumamoto	245	-95	9	-4
A0130	2019	148	Tsushima	T2019	174.18	78.3	Kumamoto	229	-81	10	-3
A0131	2019	148	Tsushima	T2019	167.55	66.66	Kumamoto	216	-68	10	-3
A0132	2019	148	Tsushima	T2019	180.24	81.46	Kumamoto	241	-93	9	-4
A0133	2019	148	Tsushima	T2019	173.16	71.47	Kumamoto	227	-79	10	-3
A0134	2019	148	Tsushima	T2019	173.8	78.66	Kumamoto	228	-80	10	-3
